   1Alabama                                              1             21.2415485      23   2   2   2   2   2 Professional Development Specialist                                    Professional Development Specialist                                    Professional Development Specialist                                    Professional Development Specialist                                    Professional Development Specialist                                       2    A    A    1    1    C    C    C    1    C    1    C    C    2    2    2    2    2    C    2    C    2    2    C    C    C    C    C    C    C    C    C    C    C    2    2    2    C    C    C    C    C    1    C    C    C    1    2    2    2    2    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    2    2    2    C    2    C    2    2    2    2    1    1    C    C    1    1    C    C    C    2    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    2    2    2    C    C    C    2    2    2    2    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    2    2    C    1    C    C    C    1    C    C    1    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    1    C    C    C    C    2    A    A    A    A    A    A    A    A    A
   1Alabama                                              2             27.4246833      23   2   2   2   2   2 Director of Operations                                                 Principal                                                              Director of Operations                                                 Director of Operations                                                 Director of Operations                                                    1    2    2    1    1    1    1    1    1    1    1    1    1    2    2    1    2    2    2    2    2    2    2    1    1    2    1    2    2    2    2    A    A    A    2    2    2    2    1    2    1    1    1    1    1    1    1    2    1    2    2    1    1    2    2    2    2    2    2    2    2    1    1    2    1    2    2    2    2    A    A    A    1    2    1    1    2    2    1    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    1    2    2    1    2    2    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    1    2    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    1    2    1    2    2    2    2    2    1    2    2    1    2    2    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    1    2    2    2    2    1    2    2    2    2    2    2    1    2    A    A    A    A    A    A    A    A
   1Alabama                                              5             13.9849010      12   2   2   2   2   2 Athletic Director                                                      Athletic Director                                                      Athletic Director                                                      Athletic Director                                                      Athletic Director                                                         1    2    2    1    1    1    1    1    2    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    2    1    1    2    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    2    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1    2    1    2    2    2    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    1    2    2    1    1    1    1    1    1    2    2    2    2    2    2    2    2    1    2    2    1    2    2    2    2    2    2    2    2    2    2    2    2    1    1    2    1    2    2    2    1    2    1    1    2    1    2    2    2    1    2    2    2    2    2    2    2    2    2    2    1    1    1    1    1    2    2    2    1    2
   1Alabama                                              6             16.7370506      42   2   2   2   2   2 Administrator                                                          Teacher                                                                Teacher                                                                Coach                                                                  Administrator                                                             2    A    A    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    C    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    C    C    1    1    C    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    2    2    2    2    2    1    1    1    1    1    1    1    1    2    2    2    1    2    1    1    2    2    1    1    1    2    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    1    2    1    2    1    2    2    2    2    2    2    2    1    2    2    1    3    3    2    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    1    1    2    2    1    2    1    2    2    2
   1Alabama                                              7             27.3356421      22   M   M   M   2   2 Director of Elementary Curriculum                                      Director of Elementary Curriculum                                      Director of Elementary Curriculum                                      Director of Secondary Education Curriculum                             Director of Secondary Education Curriculum                                M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    2    A    A    A    A    A    A    A    A    A
   1Alabama                                              8             32.0945035      31   M   2   1   2   M Health Education Teacher                                               PE/Health Teacher                                                      Wellness Coordinator/PE Teacher                                        Health Education Teacher                                               Health Education Teacher                                                  M    M    M    1    1    1    2    2    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    1    1    1    1    1    2    1    1    A    A    A    1    2    2    2    2    2    2    1    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    1    2    2    2    2    2    2    1    1    C    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M
   2Alaska                                              10             25.2304015      33   2   2   2   2   2 Superintendent                                                         Superintendent                                                         Superintendent                                                         Superintendent                                                         Superintendent                                                            2    A    A    2    A    A    A    A    A    A    A    A    A    1    1    1    1    2    1    1    1    1    1    1    1    2    2    1    2    2    2    1    1    1    2    2    2    2    2    2    2    2    A    A    A    A    A    A    A    A    A    1    1    1    1    2    1    1    1    1    1    1    1    2    2    2    2    2    2    1    1    1    2    2    2    2    2    2    2    2    2    2    2    A    A    A    A    A    A    A    A    A    1    1    1    1    2    1    1    1    1    1    1    1    2    2    2    2    2    2    1    1    1    2    2    2    1    2    2    2    2    2    2    1    1    2    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    2    1    1    1    1    2    1    1    1    1    1    1    1    2    1    1    1    2    2    1    1    1    2    1    1    1    1    1    1    2    2    1    1    2    2    1    1    1    1    3    1    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    2    2    2    A    A    A    A    A    A    A    A    A
   3Arizona                                             13             26.9847945      42   2   2   2   2   2 Superintendent                                                         Superintendent                                                         Superintendent                                                         Superintendent                                                         Superintendent                                                            2    A    A    1    1    1    C    2    1    1    1    2    2    1    1    1    2    2    1    1    2    2    1    1    2    2    2    2    2    2    1    1    1    1    2    2    2    2    2    2    2    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1    2    1    1    1    2    2    2    2    2    2    2    1    1    1    2    2    2    2    2    2    1    1    F    2    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    1    1    1    2    2    2    2    2    2    2    1    F    2    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    1    1    2    1    1    2    2    2    2    2    2    2    2    1    1    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    2    2    2    1    1    2    2    2    2    1    2    2    2    2    2    2    1    1    2    1    1    2    1    1    2    1    2    1    2    2    2    1    2    2    1    2    2    1    1    2    2    2    2    2    A    A    A    A    A    A    A    F    A
   3Arizona                                             17             26.3213237      11   2   2   2   M   2 Assistant Superintendent Instruction Support Elementary                Director of Instructional Support Elementary                           Principal                                                              Lead Nurse                                                             Director of Curriculum                                                    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    1    1    1    2    2    1    1    1    1    2    1    2    2    1    1    1    1    2    1    1    2    2    2    2    2    2    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    1    1    1    1    1    1    1    1    1    1    1    1    1    1    C    1    1    C    1    1    1    1    1    1    C    1    1    1    C    C    C    C    C    C    C    C    1    1    1    C    C    C    C    1    C    C    1    1    1    1    1    C    1    1    1    1    1    1    C    1    C    1    1    1    1    C    1    C    C    C    1    C    1    C    C    C    C    C    C    C    C    C    C    C    C    C    1    1    C    1    1    2    2    1    2    2    2    2    2
   3Arizona                                             18             39.9050542      21   2   M   M   2   2 Director of Curriculum & Instruction                                                                                                                                                                                 Director of Curriculum & Instruction                                   Director of Curriculum & Instruction                                      2    A    A    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    2    2    1    1    2    2    2    2    2    2    2    2    2    2    2    1    1    1    1    1    2    1    2    2    2    2    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    1    1    1    1    2    2    1    1    1    1    2    1    2    2    3    3    1    2    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    1    2    2    A    A    A    A    A    A    A    A    A
